;loss;categorical_accuracy;val_loss;val_categorical_accuracy
0;1,228038;0,576416;13,445168;0,143415
1;0,263483;0,91748;1,557263;0,681951
2;0,064619;0,984863;3,975553;0,56878
3;0,030747;0,994141;0,35421;0,874146
4;0,017231;0,997803;0,334733;0,88878
5;0,011932;0,998291;0,077302;0,972683
6;0,007673;0,999023;0,109056;0,957073
7;0,005493;0,999512;0,056746;0,983415
8;0,003537;1;0,030858;0,99122
9;0,003214;1;0,048168;0,987317
10;0,002619;0,999756;0,108701;0,970732
11;0,002466;1;0,042711;0,986341
12;0,001816;1;0,070614;0,978537
13;0,001546;1;0,052005;0,979512
14;0,001716;0,999756;0,036649;0,987317
